1.878965 0.001799 0.384858
1.879004 0.005419 0.396055
1.876129 0.009339 0.404243
1.873526 0.013529 0.411584
1.870836 0.018062 0.418007
1.868053 0.022994 0.423437
1.865169 0.028381 0.427809
1.862981 0.032647 0.433083
1.785148 0.059665 0.334206
1.860411 0.037984 0.437179
1.857655 0.044098 0.439325
1.854848 0.050678 0.440442
1.660947 0.122658 0.180311
1.852021 0.057850 0.440955
1.849910 0.063663 0.441699
1.770037 0.102316 0.329861
1.845567 0.076647 0.435236
1.845030 0.078633 0.438549
1.844336 0.080766 0.441270
1.803861 0.113412 0.371633
1.840441 0.095789 0.430734
1.799633 0.126640 0.362683
1.837804 0.107822 0.422345
1.837171 0.110953 0.422314
1.834672 0.125553 0.407499
1.834644 0.126402 0.409171
1.758362 0.194662 0.266469
1.833083 0.139051 0.398114
1.832306 0.146594 0.391230
1.831784 0.154634 0.383378
1.831399 0.161278 0.376981
1.831205 0.168797 0.369349
1.831075 0.176592 0.361346
1.831194 0.183800 0.353619
1.831425 0.192748 0.344193
1.831995 0.201558 0.334516
1.805444 0.241499 0.266711
1.833451 0.217462 0.316916
1.834014 0.222653 0.309737
1.836249 0.237201 0.295145
1.837785 0.245435 0.284713
1.839527 0.253980 0.275241
1.841769 0.263118 0.264728
1.844258 0.272518 0.252916
1.847882 0.284400 0.241177
1.850973 0.293265 0.229855
1.854404 0.302447 0.218275
1.858918 0.313180 0.207872
1.863212 0.322317 0.196348
1.869884 0.335173 0.181495
1.875244 0.344491 0.172772
1.878476 0.349511 0.165233
1.887377 0.362341 0.150806
1.896983 0.374383 0.137351
1.900880 0.378874 0.130724
1.907519 0.385736 0.124533
1.917876 0.395273 0.113623
1.929445 0.404324 0.103497
1.941514 0.412147 0.094593
1.954003 0.418662 0.086931
1.966859 0.423811 0.080496
1.979981 0.427532 0.075270
1.993284 0.430985 0.069985
2.257645 -0.002588 0.010566
2.266484 0.013225 0.010699
2.273996 0.029688 0.010118
2.284035 0.034484 0.022449
2.292788 0.061199 0.010416
2.302657 0.075881 0.012132
2.310515 0.092678 0.010435
2.316151 0.099339 0.021450
2.327517 0.117466 0.009712
2.335435 0.126643 0.008090
2.343092 0.139722 0.010813
2.347509 0.147302 0.021402
2.359081 0.166942 0.008233
2.366905 0.174982 0.007665
2.372437 0.188062 0.010328
2.377387 0.193361 0.021416
2.388213 0.210112 0.007102
2.393709 0.220636 0.008687
2.401100 0.231854 0.009456
2.401362 0.237476 0.023718
2.414089 0.253428 0.008768
2.430423 0.261344 0.009593
2.463246 0.260844 0.022671
2.463447 0.272205 0.025193
2.485408 0.291202 0.004631
2.485929 0.300718 0.007648
2.490877 0.309266 0.005016
2.488015 0.314258 0.010719
2.493146 0.325592 0.006505
2.495315 0.333746 0.006319
2.493968 0.341758 0.008194
2.373713 0.308646 0.069669
1.884394 0.358674 0.161515
2.013954 0.368454 0.012775
2.030061 0.375199 0.012474
2.036826 0.381151 0.026185
2.061720 0.388936 0.012237
2.077855 0.394170 0.011851
2.092779 0.402316 0.013250
2.100273 0.405468 0.025422
2.119537 0.414737 0.010360
2.128238 0.420831 0.008728
2.141418 0.423259 0.014044
2.148880 0.427875 0.031037
2.168493 0.437364 0.008587
2.176224 0.443295 0.011820
2.188888 0.446194 0.016249
2.195270 0.446450 0.030678
2.211159 0.457404 0.009191
2.221207 0.462261 0.012126
2.232986 0.465159 0.011799
2.238311 0.462594 0.018353
2.410339 0.469161 0.015992
2.427538 0.475419 0.016505
2.440966 0.480646 0.008278
2.443989 0.481392 0.012569
2.453048 0.487933 0.003456
2.457867 0.490434 0.003758
2.463366 0.493097 0.004399
2.465387 0.494531 0.006965
2.470800 0.497387 0.002412
2.475044 0.497469 0.004197
